"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - train/loss","MIN","MAX"
"4045","4044","4044","4044","3.3975","3.3975","3.3975"
"4052","4051","4051","4051","3.4589","3.4589","3.4589"
"4066","4065","4065","4065","3.44","3.44","3.44"
"4069","4068","4068","4068","3.4399","3.4399","3.4399"
"4081","4080","4080","4080","3.4059","3.4059","3.4059"
"4088","4087","4087","4087","3.4206","3.4206","3.4206"
"4091","4090","4090","4090","3.4481","3.4481","3.4481"
"4113","4112","4112","4112","3.4742","3.4742","3.4742"
"4136","4135","4135","4135","3.4153","3.4153","3.4153"
"4162","4161","4161","4161","3.405","3.405","3.405"
"4169","4168","4168","4168","3.4427","3.4427","3.4427"
"4199","4198","4198","4198","3.4447","3.4447","3.4447"
"4213","4212","4212","4212","3.4075","3.4075","3.4075"
"4220","4219","4219","4219","3.4454","3.4454","3.4454"
"4227","4226","4226","4226","3.4255","3.4255","3.4255"
"4237","4236","4236","4236","3.3815","3.3815","3.3815"
"4241","4240","4240","4240","3.4301","3.4301","3.4301"
"4245","4244","4244","4244","3.4062","3.4062","3.4062"
"4258","4257","4257","4257","3.4262","3.4262","3.4262"
"4266","4265","4265","4265","3.4102","3.4102","3.4102"
"4275","4274","4274","4274","3.428","3.428","3.428"
"4286","4285","4285","4285","3.4374","3.4374","3.4374"
"4302","4301","4301","4301","3.4246","3.4246","3.4246"
"4305","4304","4304","4304","3.416","3.416","3.416"
"4307","4306","4306","4306","3.3989","3.3989","3.3989"
"4308","4307","4307","4307","3.4154","3.4154","3.4154"
"4319","4318","4318","4318","3.3838","3.3838","3.3838"
"4332","4331","4331","4331","3.4339","3.4339","3.4339"
"4335","4334","4334","4334","3.3833","3.3833","3.3833"
"4348","4347","4347","4347","3.4077","3.4077","3.4077"
"4349","4348","4348","4348","3.4173","3.4173","3.4173"
"4359","4358","4358","4358","3.4113","3.4113","3.4113"
"4375","4374","4374","4374","3.3746","3.3746","3.3746"
"4383","4382","4382","4382","3.3954","3.3954","3.3954"
"4390","4389","4389","4389","3.421","3.421","3.421"
"4403","4402","4402","4402","3.3803","3.3803","3.3803"
"4422","4421","4421","4421","3.3896","3.3896","3.3896"
"4423","4422","4422","4422","3.4068","3.4068","3.4068"
"4433","4432","4432","4432","3.4011","3.4011","3.4011"
"4470","4469","4469","4469","3.4071","3.4071","3.4071"
"4484","4483","4483","4483","3.4089","3.4089","3.4089"
"4488","4487","4487","4487","3.4168","3.4168","3.4168"
"4491","4490","4490","4490","3.3983","3.3983","3.3983"
"4496","4495","4495","4495","3.4382","3.4382","3.4382"
"4497","4496","4496","4496","3.4184","3.4184","3.4184"
"4498","4497","4497","4497","3.3953","3.3953","3.3953"
"4500","4499","4499","4499","3.3899","3.3899","3.3899"
"4518","4517","4517","4517","3.385","3.385","3.385"
"4519","4518","4518","4518","3.3871","3.3871","3.3871"
"4539","4538","4538","4538","3.3565","3.3565","3.3565"
"4557","4556","4556","4556","3.378","3.378","3.378"
"4577","4576","4576","4576","3.4082","3.4082","3.4082"
"4583","4582","4582","4582","3.3727","3.3727","3.3727"
"4609","4608","4608","4608","3.387","3.387","3.387"
"4634","4633","4633","4633","3.3665","3.3665","3.3665"
"4651","4650","4650","4650","3.3795","3.3795","3.3795"
"4652","4651","4651","4651","3.3812","3.3812","3.3812"
"4653","4652","4652","4652","3.3836","3.3836","3.3836"
"4667","4666","4666","4666","3.3687","3.3687","3.3687"
"4680","4679","4679","4679","3.3509","3.3509","3.3509"
"4683","4682","4682","4682","3.3613","3.3613","3.3613"
"4704","4703","4703","4703","3.3633","3.3633","3.3633"
"4718","4717","4717","4717","3.3467","3.3467","3.3467"
"4719","4718","4718","4718","3.3552","3.3552","3.3552"
"4723","4722","4722","4722","3.3795","3.3795","3.3795"
"4724","4723","4723","4723","3.3556","3.3556","3.3556"
"4725","4724","4724","4724","3.3829","3.3829","3.3829"
"4734","4733","4733","4733","3.373","3.373","3.373"
"4752","4751","4751","4751","3.3705","3.3705","3.3705"
"4763","4762","4762","4762","3.3545","3.3545","3.3545"
"4767","4766","4766","4766","3.3634","3.3634","3.3634"
"4769","4768","4768","4768","3.326","3.326","3.326"
"4777","4776","4776","4776","3.3516","3.3516","3.3516"
"4778","4777","4777","4777","3.3314","3.3314","3.3314"
"4781","4780","4780","4780","3.3515","3.3515","3.3515"
"4789","4788","4788","4788","3.3562","3.3562","3.3562"
"4793","4792","4792","4792","3.3575","3.3575","3.3575"
"4794","4793","4793","4793","3.3815","3.3815","3.3815"
"4821","4820","4820","4820","3.3834","3.3834","3.3834"
"4824","4823","4823","4823","3.3448","3.3448","3.3448"
"4832","4831","4831","4831","3.3718","3.3718","3.3718"
"4833","4832","4832","4832","3.3799","3.3799","3.3799"
"4845","4844","4844","4844","3.3534","3.3534","3.3534"
"4859","4858","4858","4858","3.3849","3.3849","3.3849"
"4871","4870","4870","4870","3.3818","3.3818","3.3818"
"4890","4889","4889","4889","3.3562","3.3562","3.3562"
"4920","4919","4919","4919","3.3513","3.3513","3.3513"
"4923","4922","4922","4922","3.3274","3.3274","3.3274"
"4932","4931","4931","4931","3.3681","3.3681","3.3681"
"4938","4937","4937","4937","3.3467","3.3467","3.3467"
"4940","4939","4939","4939","3.3663","3.3663","3.3663"
"4945","4944","4944","4944","3.3684","3.3684","3.3684"
